week_start,area,rainfall_mm,rainfall_lag1,rainfall_lag2,rainfall_lag3,rainfall_lag4,dengue_cases,rainfall_roll2w,rainfall_roll4w,rainfall_roll4w_sum,week_of_year,sin_week,cos_week,cases_lag1
2022-01-31,Ang Mo Kio,230.2,187.9,180.6,172.4,208.7,12,209.05,192.775,771.1,5,0.5680647467311558,0.8229838658936564,10.0
2022-02-07,Ang Mo Kio,230.2,230.2,187.9,180.6,172.4,24,230.2,207.225,828.9,6,0.6631226582407952,0.7485107481711011,12.0
2022-02-14,Ang Mo Kio,95.7,230.2,230.2,187.9,180.6,25,162.95,185.99999999999997,743.9999999999999,7,0.7485107481711011,0.6631226582407953,24.0
2022-02-21,Ang Mo Kio,143.3,95.7,230.2,230.2,187.9,20,119.5,174.85,699.4,8,0.8229838658936564,0.5680647467311559,25.0
2022-02-28,Ang Mo Kio,193.2,143.3,95.7,230.2,230.2,14,168.25,165.60000000000002,662.4000000000001,9,0.8854560256532099,0.4647231720437686,20.0
2022-03-07,Ang Mo Kio,163.1,193.2,143.3,95.7,230.2,13,178.14999999999998,148.825,595.3,10,0.9350162426854148,0.35460488704253557,14.0
2022-03-14,Ang Mo Kio,160.3,163.1,193.2,143.3,95.7,22,161.7,164.975,659.9,11,0.970941817426052,0.23931566428755804,13.0
2022-03-21,Ang Mo Kio,219.4,160.3,163.1,193.2,143.3,17,189.85000000000002,184.0,736.0,12,0.992708874098054,0.120536680255323,22.0
2022-03-28,Ang Mo Kio,203.8,219.4,160.3,163.1,193.2,19,211.60000000000002,186.65,746.6,13,1.0,-1.6081226496766364e-16,17.0
2022-04-04,Ang Mo Kio,191.9,203.8,219.4,160.3,163.1,13,197.85000000000002,193.85,775.4,14,0.992708874098054,-0.12053668025532288,19.0
2022-04-11,Ang Mo Kio,243.7,191.9,203.8,219.4,160.3,15,217.8,214.70000000000002,858.8000000000001,15,0.9709418174260521,-0.2393156642875575,13.0
2022-04-18,Ang Mo Kio,251.6,243.7,191.9,203.8,219.4,20,247.64999999999998,222.75,891.0,16,0.9350162426854148,-0.35460488704253545,15.0
2022-04-25,Ang Mo Kio,205.7,251.6,243.7,191.9,203.8,14,228.64999999999998,223.225,892.9,17,0.8854560256532099,-0.4647231720437685,20.0
2022-05-02,Ang Mo Kio,173.3,205.7,251.6,243.7,191.9,29,189.5,218.575,874.3,18,0.8229838658936565,-0.5680647467311557,14.0
2022-05-09,Ang Mo Kio,194.2,173.3,205.7,251.6,243.7,20,183.75,206.2,824.8,19,0.7485107481711013,-0.663122658240795,29.0
2022-05-16,Ang Mo Kio,235.1,194.2,173.3,205.7,251.6,16,214.64999999999998,202.07500000000002,808.3000000000001,20,0.6631226582407952,-0.7485107481711012,20.0
2022-05-23,Ang Mo Kio,219.7,235.1,194.2,173.3,205.7,16,227.39999999999998,205.575,822.3,21,0.5680647467311558,-0.8229838658936564,16.0
2022-05-30,Ang Mo Kio,192.0,219.7,235.1,194.2,173.3,8,205.85,210.25,841.0,22,0.46472317204376906,-0.8854560256532096,16.0
2022-06-06,Ang Mo Kio,107.0,192.0,219.7,235.1,194.2,15,149.5,188.45,753.8,23,0.35460488704253584,-0.9350162426854147,8.0
2022-06-13,Ang Mo Kio,152.4,107.0,192.0,219.7,235.1,13,129.7,167.77499999999998,671.0999999999999,24,0.23931566428755768,-0.970941817426052,15.0
2022-06-20,Ang Mo Kio,127.7,152.4,107.0,192.0,219.7,24,140.05,144.775,579.1,25,0.12053668025532308,-0.992708874098054,13.0
2022-06-27,Ang Mo Kio,144.3,127.7,152.4,107.0,192.0,17,136.0,132.85000000000002,531.4000000000001,26,-3.216245299353273e-16,-1.0,24.0
2022-07-04,Ang Mo Kio,161.5,144.3,127.7,152.4,107.0,11,152.90000000000003,146.47500000000002,585.9000000000001,27,-0.12053668025532283,-0.992708874098054,17.0
2022-07-11,Ang Mo Kio,81.8,161.5,144.3,127.7,152.4,15,121.65,128.825,515.3,28,-0.23931566428755743,-0.9709418174260521,11.0
2022-07-18,Ang Mo Kio,112.0,81.8,161.5,144.3,127.7,10,96.9,124.9,499.6,29,-0.3546048870425356,-0.9350162426854148,15.0
2022-07-25,Ang Mo Kio,187.7,112.0,81.8,161.5,144.3,13,149.85,135.75,543.0,30,-0.46472317204376806,-0.8854560256532101,10.0
2022-08-01,Ang Mo Kio,105.2,187.7,112.0,81.8,161.5,10,146.45,121.675,486.7,31,-0.5680647467311556,-0.8229838658936565,13.0
2022-08-08,Ang Mo Kio,182.8,105.2,187.7,112.0,81.8,15,144.0,146.925,587.7,32,-0.663122658240795,-0.7485107481711013,10.0
2022-08-15,Ang Mo Kio,122.4,182.8,105.2,187.7,112.0,12,152.60000000000002,149.525,598.1,33,-0.7485107481711011,-0.6631226582407952,15.0
2022-08-22,Ang Mo Kio,101.7,122.4,182.8,105.2,187.7,7,112.05000000000001,128.025,512.1,34,-0.8229838658936564,-0.5680647467311559,12.0
2022-08-29,Ang Mo Kio,174.4,101.7,122.4,182.8,105.2,13,138.05,145.325,581.3,35,-0.8854560256532096,-0.4647231720437691,7.0
2022-09-05,Ang Mo Kio,181.8,174.4,101.7,122.4,182.8,16,178.10000000000002,145.075,580.3,36,-0.9350162426854147,-0.3546048870425359,13.0
2022-09-12,Ang Mo Kio,212.0,181.8,174.4,101.7,122.4,9,196.89999999999998,167.47500000000002,669.9000000000001,37,-0.970941817426052,-0.23931566428755774,16.0
2022-09-19,Ang Mo Kio,204.4,212.0,181.8,174.4,101.7,10,208.2,193.15,772.6,38,-0.992708874098054,-0.12053668025532357,9.0
2022-09-26,Ang Mo Kio,238.3,204.4,212.0,181.8,174.4,17,221.35,209.125,836.5,39,-1.0,-1.8369701987210297e-16,10.0
2022-10-03,Ang Mo Kio,164.1,238.3,204.4,212.0,181.8,11,201.2,204.70000000000002,818.8000000000001,40,-0.992708874098054,0.1205366802553232,17.0
2022-10-10,Ang Mo Kio,140.0,164.1,238.3,204.4,212.0,18,152.04999999999998,186.7,746.8,41,-0.9709418174260521,0.23931566428755738,11.0
2022-10-17,Ang Mo Kio,246.7,140.0,164.1,238.3,204.4,10,193.34999999999997,197.27499999999998,789.0999999999999,42,-0.9350162426854148,0.35460488704253557,18.0
2022-10-24,Ang Mo Kio,218.6,246.7,140.0,164.1,238.3,17,232.64999999999998,192.35,769.4,43,-0.8854560256532101,0.464723172043768,10.0
2022-10-31,Ang Mo Kio,175.4,218.6,246.7,140.0,164.1,10,197.0,195.175,780.7,44,-0.822983865893657,0.5680647467311548,17.0
2022-11-07,Ang Mo Kio,232.7,175.4,218.6,246.7,140.0,9,204.04999999999998,218.35,873.4,45,-0.7485107481711011,0.6631226582407952,10.0
2022-11-14,Ang Mo Kio,277.2,232.7,175.4,218.6,246.7,14,254.95,225.97500000000002,903.9000000000001,46,-0.6631226582407955,0.7485107481711007,9.0
2022-11-21,Ang Mo Kio,182.0,277.2,232.7,175.4,218.6,11,229.59999999999997,216.825,867.3,47,-0.5680647467311559,0.8229838658936564,14.0
2022-11-28,Ang Mo Kio,151.2,182.0,277.2,232.7,175.4,16,166.59999999999997,210.77499999999998,843.0999999999999,48,-0.4647231720437684,0.88545602565321,11.0
2022-12-05,Ang Mo Kio,184.7,151.2,182.0,277.2,232.7,14,167.94999999999996,198.77499999999998,795.0999999999999,49,-0.35460488704253595,0.9350162426854147,16.0
2022-12-12,Ang Mo Kio,309.2,184.7,151.2,182.0,277.2,12,246.94999999999996,206.77499999999998,827.0999999999999,50,-0.2393156642875578,0.970941817426052,14.0
