week_start,area,rainfall_mm,rainfall_lag1,rainfall_lag2,rainfall_lag3,rainfall_lag4,dengue_cases
2022-01-03,Ang Mo Kio,208.7,,,,,9
2022-01-10,Ang Mo Kio,172.4,208.7,,,,16
2022-01-17,Ang Mo Kio,180.6,172.4,208.7,,,9
2022-01-24,Ang Mo Kio,187.9,180.6,172.4,208.7,,10
2022-01-31,Ang Mo Kio,230.2,187.9,180.6,172.4,208.7,12
2022-02-07,Ang Mo Kio,230.2,230.2,187.9,180.6,172.4,24
2022-02-14,Ang Mo Kio,95.7,230.2,230.2,187.9,180.6,25
2022-02-21,Ang Mo Kio,143.3,95.7,230.2,230.2,187.9,20
2022-02-28,Ang Mo Kio,193.2,143.3,95.7,230.2,230.2,14
2022-03-07,Ang Mo Kio,163.1,193.2,143.3,95.7,230.2,13
2022-03-14,Ang Mo Kio,160.3,163.1,193.2,143.3,95.7,22
2022-03-21,Ang Mo Kio,219.4,160.3,163.1,193.2,143.3,17
2022-03-28,Ang Mo Kio,203.8,219.4,160.3,163.1,193.2,19
2022-04-04,Ang Mo Kio,191.9,203.8,219.4,160.3,163.1,13
2022-04-11,Ang Mo Kio,243.7,191.9,203.8,219.4,160.3,15
2022-04-18,Ang Mo Kio,251.6,243.7,191.9,203.8,219.4,20
2022-04-25,Ang Mo Kio,205.7,251.6,243.7,191.9,203.8,14
2022-05-02,Ang Mo Kio,173.3,205.7,251.6,243.7,191.9,29
2022-05-09,Ang Mo Kio,194.2,173.3,205.7,251.6,243.7,20
2022-05-16,Ang Mo Kio,235.1,194.2,173.3,205.7,251.6,16
2022-05-23,Ang Mo Kio,219.7,235.1,194.2,173.3,205.7,16
2022-05-30,Ang Mo Kio,192.0,219.7,235.1,194.2,173.3,8
2022-06-06,Ang Mo Kio,107.0,192.0,219.7,235.1,194.2,15
2022-06-13,Ang Mo Kio,152.4,107.0,192.0,219.7,235.1,13
2022-06-20,Ang Mo Kio,127.7,152.4,107.0,192.0,219.7,24
2022-06-27,Ang Mo Kio,144.3,127.7,152.4,107.0,192.0,17
2022-07-04,Ang Mo Kio,161.5,144.3,127.7,152.4,107.0,11
2022-07-11,Ang Mo Kio,81.8,161.5,144.3,127.7,152.4,15
2022-07-18,Ang Mo Kio,112.0,81.8,161.5,144.3,127.7,10
2022-07-25,Ang Mo Kio,187.7,112.0,81.8,161.5,144.3,13
2022-08-01,Ang Mo Kio,105.2,187.7,112.0,81.8,161.5,10
2022-08-08,Ang Mo Kio,182.8,105.2,187.7,112.0,81.8,15
2022-08-15,Ang Mo Kio,122.4,182.8,105.2,187.7,112.0,12
2022-08-22,Ang Mo Kio,101.7,122.4,182.8,105.2,187.7,7
2022-08-29,Ang Mo Kio,174.4,101.7,122.4,182.8,105.2,13
2022-09-05,Ang Mo Kio,181.8,174.4,101.7,122.4,182.8,16
2022-09-12,Ang Mo Kio,212.0,181.8,174.4,101.7,122.4,9
2022-09-19,Ang Mo Kio,204.4,212.0,181.8,174.4,101.7,10
2022-09-26,Ang Mo Kio,238.3,204.4,212.0,181.8,174.4,17
2022-10-03,Ang Mo Kio,164.1,238.3,204.4,212.0,181.8,11
2022-10-10,Ang Mo Kio,140.0,164.1,238.3,204.4,212.0,18
2022-10-17,Ang Mo Kio,246.7,140.0,164.1,238.3,204.4,10
2022-10-24,Ang Mo Kio,218.6,246.7,140.0,164.1,238.3,17
2022-10-31,Ang Mo Kio,175.4,218.6,246.7,140.0,164.1,10
2022-11-07,Ang Mo Kio,232.7,175.4,218.6,246.7,140.0,9
2022-11-14,Ang Mo Kio,277.2,232.7,175.4,218.6,246.7,14
2022-11-21,Ang Mo Kio,182.0,277.2,232.7,175.4,218.6,11
2022-11-28,Ang Mo Kio,151.2,182.0,277.2,232.7,175.4,16
2022-12-05,Ang Mo Kio,184.7,151.2,182.0,277.2,232.7,14
2022-12-12,Ang Mo Kio,309.2,184.7,151.2,182.0,277.2,12
2022-12-19,Ang Mo Kio,166.9,309.2,184.7,151.2,182.0,23
2022-12-26,Ang Mo Kio,217.9,166.9,309.2,184.7,151.2,12
2023-01-02,Ang Mo Kio,325.2,217.9,166.9,309.2,184.7,7
2023-01-09,Ang Mo Kio,234.2,325.2,217.9,166.9,309.2,15
2023-01-16,Ang Mo Kio,253.9,234.2,325.2,217.9,166.9,11
2023-01-23,Ang Mo Kio,286.5,253.9,234.2,325.2,217.9,18
2023-01-30,Ang Mo Kio,270.1,286.5,253.9,234.2,325.2,18
2023-02-06,Ang Mo Kio,121.3,270.1,286.5,253.9,234.2,19
2023-02-13,Ang Mo Kio,189.9,121.3,270.1,286.5,253.9,13
2023-02-20,Ang Mo Kio,214.7,189.9,121.3,270.1,286.5,29
2023-02-27,Ang Mo Kio,220.0,214.7,189.9,121.3,270.1,17
2023-03-06,Ang Mo Kio,159.6,220.0,214.7,189.9,121.3,17
2023-03-13,Ang Mo Kio,220.1,159.6,220.0,214.7,189.9,17
2023-03-20,Ang Mo Kio,259.8,220.1,159.6,220.0,214.7,17
2023-03-27,Ang Mo Kio,209.5,259.8,220.1,159.6,220.0,18
2023-04-03,Ang Mo Kio,224.1,209.5,259.8,220.1,159.6,22
2023-04-10,Ang Mo Kio,170.9,224.1,209.5,259.8,220.1,22
2023-04-17,Ang Mo Kio,226.8,170.9,224.1,209.5,259.8,24
2023-04-24,Ang Mo Kio,170.3,226.8,170.9,224.1,209.5,17
2023-05-01,Ang Mo Kio,159.7,170.3,226.8,170.9,224.1,17
2023-05-08,Ang Mo Kio,256.9,159.7,170.3,226.8,170.9,12
2023-05-15,Ang Mo Kio,267.4,256.9,159.7,170.3,226.8,15
2023-05-22,Ang Mo Kio,178.2,267.4,256.9,159.7,170.3,16
2023-05-29,Ang Mo Kio,185.3,178.2,267.4,256.9,159.7,22
2023-06-05,Ang Mo Kio,171.9,185.3,178.2,267.4,256.9,11
2023-06-12,Ang Mo Kio,177.6,171.9,185.3,178.2,267.4,8
2023-06-19,Ang Mo Kio,144.2,177.6,171.9,185.3,178.2,20
2023-06-26,Ang Mo Kio,158.3,144.2,177.6,171.9,185.3,11
2023-07-03,Ang Mo Kio,118.0,158.3,144.2,177.6,171.9,11
2023-07-10,Ang Mo Kio,193.0,118.0,158.3,144.2,177.6,16
2023-07-17,Ang Mo Kio,65.5,193.0,118.0,158.3,144.2,18
2023-07-24,Ang Mo Kio,155.7,65.5,193.0,118.0,158.3,15
2023-07-31,Ang Mo Kio,147.6,155.7,65.5,193.0,118.0,11
2023-08-07,Ang Mo Kio,176.6,147.6,155.7,65.5,193.0,7
2023-08-14,Ang Mo Kio,133.2,176.6,147.6,155.7,65.5,10
2023-08-21,Ang Mo Kio,142.0,133.2,176.6,147.6,155.7,11
2023-08-28,Ang Mo Kio,82.1,142.0,133.2,176.6,147.6,16
2023-09-04,Ang Mo Kio,170.8,82.1,142.0,133.2,176.6,13
2023-09-11,Ang Mo Kio,125.1,170.8,82.1,142.0,133.2,9
2023-09-18,Ang Mo Kio,116.1,125.1,170.8,82.1,142.0,11
2023-09-25,Ang Mo Kio,208.9,116.1,125.1,170.8,82.1,13
2023-10-02,Ang Mo Kio,218.8,208.9,116.1,125.1,170.8,9
2023-10-09,Ang Mo Kio,249.6,218.8,208.9,116.1,125.1,12
2023-10-16,Ang Mo Kio,244.6,249.6,218.8,208.9,116.1,13
2023-10-23,Ang Mo Kio,203.8,244.6,249.6,218.8,208.9,17
2023-10-30,Ang Mo Kio,206.6,203.8,244.6,249.6,218.8,8
2023-11-06,Ang Mo Kio,216.9,206.6,203.8,244.6,249.6,13
2023-11-13,Ang Mo Kio,287.7,216.9,206.6,203.8,244.6,15
2023-11-20,Ang Mo Kio,295.1,287.7,216.9,206.6,203.8,7
2023-11-27,Ang Mo Kio,275.3,295.1,287.7,216.9,206.6,16
2023-12-04,Ang Mo Kio,290.9,275.3,295.1,287.7,216.9,15
2023-12-11,Ang Mo Kio,334.9,290.9,275.3,295.1,287.7,19
2023-12-18,Ang Mo Kio,280.6,334.9,290.9,275.3,295.1,12
2023-12-25,Ang Mo Kio,289.3,280.6,334.9,290.9,275.3,25
2024-01-01,Ang Mo Kio,179.9,289.3,280.6,334.9,290.9,23
2024-01-08,Ang Mo Kio,297.9,179.9,289.3,280.6,334.9,19
2024-01-15,Ang Mo Kio,286.3,297.9,179.9,289.3,280.6,14
2024-01-22,Ang Mo Kio,312.3,286.3,297.9,179.9,289.3,8
2024-01-29,Ang Mo Kio,301.0,312.3,286.3,297.9,179.9,23
2024-02-05,Ang Mo Kio,184.3,301.0,312.3,286.3,297.9,25
2024-02-12,Ang Mo Kio,143.6,184.3,301.0,312.3,286.3,23
2024-02-19,Ang Mo Kio,165.2,143.6,184.3,301.0,312.3,18
2024-02-26,Ang Mo Kio,224.8,165.2,143.6,184.3,301.0,18
2024-03-04,Ang Mo Kio,203.1,224.8,165.2,143.6,184.3,14
2024-03-11,Ang Mo Kio,230.6,203.1,224.8,165.2,143.6,17
2024-03-18,Ang Mo Kio,158.6,230.6,203.1,224.8,165.2,17
2024-03-25,Ang Mo Kio,193.7,158.6,230.6,203.1,224.8,22
2024-04-01,Ang Mo Kio,221.1,193.7,158.6,230.6,203.1,9
2024-04-08,Ang Mo Kio,267.0,221.1,193.7,158.6,230.6,10
2024-04-15,Ang Mo Kio,189.4,267.0,221.1,193.7,158.6,21
2024-04-22,Ang Mo Kio,192.0,189.4,267.0,221.1,193.7,18
2024-04-29,Ang Mo Kio,208.1,192.0,189.4,267.0,221.1,15
2024-05-06,Ang Mo Kio,156.8,208.1,192.0,189.4,267.0,8
2024-05-13,Ang Mo Kio,276.4,156.8,208.1,192.0,189.4,17
2024-05-20,Ang Mo Kio,191.8,276.4,156.8,208.1,192.0,8
2024-05-27,Ang Mo Kio,195.4,191.8,276.4,156.8,208.1,15
